Library index,Radionuclide,Radiation number,Key radiation Boolean,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
101,Pa-234m,78,0,1911.19,0.11,0.00624,9e-05,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
102,Pa-234m,79,0,1937.04,0.13,0.0021,7e-05,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
103,Pa-234m,80,0,16.228,,0.05403136,0.0136540701267863,73.92,(0-),1.159,11,m,69.54,IT,0.16,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
104,Pa-234m,81,0,16.678,,0.013440056954692,0.0013020043114394,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
105,Pa-234m,82,0,94.657,,0.0067779150274623,0.000851547700578,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
106,Pa-234m,83,0,98.439,,0.0108498719824914,0.001362438905798,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
107,Pa-234m,84,0,111.238,,0.0039143670111521,0.0004960806828743,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
108,Pa-234m,85,0,112.645,,0.0052530805289662,0.0006654525219103,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
109,Pa-234m,86,0,114.446,,0.001338713517814,0.0001707847604695,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
110,U-234,1,1,53.2,0.02,0.123,0.002,0.0,0+,245500.0,6,Y,7747225326762.336,A,100.0,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
111,U-234,2,0,120.9,0.02,0.0342,0.0005,0.0,0+,245500.0,6,Y,7747225326762.336,A,100.0,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
112,U-234,3,0,15.784,,9.989616344671614,,0.0,0+,245500.0,6,Y,7747225326762.336,A,100.0,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
113,U-234,4,0,89.954,,0.002553812998676,,0.0,0+,245500.0,6,Y,7747225326762.336,A,100.0,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
114,U-234,5,0,93.347,,0.0041310465847234,,0.0,0+,245500.0,6,Y,7747225326762.336,A,100.0,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
115,U-234,6,0,105.566,,0.0014699691230512,,0.0,0+,245500.0,6,Y,7747225326762.336,A,100.0,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
116,U-234,7,0,106.894,,0.0019653487175194,,0.0,0+,245500.0,6,Y,7747225326762.336,A,100.0,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
117,Th-230,1,1,67.672,0.002,0.37673,0.03083388558064,0.0,0+,75400.0,3,Y,2379392218484.237,A,100.0,,1-Feb-1996,Y. A. AKOVALI,2024-04-27,ENSDF
118,Th-230,2,0,143.872,0.004,0.048783,0.0036518061284794,0.0,0+,75400.0,3,Y,2379392218484.237,A,100.0,,1-Feb-1996,Y. A. AKOVALI,2024-04-27,ENSDF
119,Th-230,3,0,186.053,0.004,0.008787,0.0006600757532283,0.0,0+,75400.0,3,Y,2379392218484.237,A,100.0,,1-Feb-1996,Y. A. AKOVALI,2024-04-27,ENSDF
120,Th-230,4,0,253.729,0.01,0.01111,0.0008310385069297,0.0,0+,75400.0,3,Y,2379392218484.237,A,100.0,,1-Feb-1996,Y. A. AKOVALI,2024-04-27,ENSDF
121,Th-230,5,0,14.92,,7.731809660327399,0.7094056020171331,0.0,0+,75400.0,3,Y,2379392218484.237,A,100.0,,1-Feb-1996,Y. A. AKOVALI,2024-04-27,ENSDF
122,Th-230,6,0,85.432,,0.0042581319120655,0.0002986615825371,0.0,0+,75400.0,3,Y,2379392218484.237,A,100.0,,1-Feb-1996,Y. A. AKOVALI,2024-04-27,ENSDF
123,Th-230,7,0,88.471,,0.0069554588566898,0.0004870221377401,0.0,0+,75400.0,3,Y,2379392218484.237,A,100.0,,1-Feb-1996,Y. A. AKOVALI,2024-04-27,ENSDF
124,Th-230,8,0,100.119,,0.0024403070272366,0.0001743779671691,0.0,0+,75400.0,3,Y,2379392218484.237,A,100.0,,1-Feb-1996,Y. A. AKOVALI,2024-04-27,ENSDF
125,Th-230,9,0,101.37,,0.0032407277321702,0.000231252270071,0.0,0+,75400.0,3,Y,2379392218484.237,A,100.0,,1-Feb-1996,Y. A. AKOVALI,2024-04-27,ENSDF
126,Ra-226,1,1,186.211,0.013,3.565,0.029,0.0,0+,1600.0,7,Y,50491081559.3472,A,100.0,,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2024-04-27,ENSDF
127,Ra-226,2,0,262.27,0.05,0.005,0.0005,0.0,0+,1600.0,7,Y,50491081559.3472,A,100.0,,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2024-04-27,ENSDF
